# HASH MANIFEST
Lead Engineer: Andrew C. Rogers (Sui-Generis)
Date: 2026-05-10
Generated At (UTC): 2026-05-10T11:01:15.506120Z
Scope: All files under docs/

SHA256 | FILE_PATH | CONTEMPORANEOUS_TIMESTAMP_UTC
7006801e6b6622782c890a3b8886dc55022e5ff060b565bdc4a8983828e47440 | docs/03_Logic_Core/app/__pycache__/models.cpython-312.pyc | 2026-05-10T11:01:15.449794Z
a841918427196e06f0d74cb835bffd8c57a5775a9b842d408a22f32c4898b66a | docs/03_Logic_Core/app/__pycache__/schemas.cpython-312.pyc | 2026-05-10T11:01:15.451341Z
c8a13082989a415750696d6c4ae1fea4f4319858c9d07cac795ae8e051049627 | docs/03_Logic_Core/app/auth.py | 2026-05-10T11:01:15.451517Z
2e2c5f67f372c0bc32fa651d409972b8dc49bfea7a9c17d9a8562340d23e6235 | docs/03_Logic_Core/app/database.py | 2026-05-10T11:01:15.451675Z
d24a979bc51281371ed59e83fb2aab04646c0649a1fa87a0d8ab78b9eebff7b5 | docs/03_Logic_Core/app/main.py | 2026-05-10T11:01:15.451833Z
59d42342dc2579fda88a9c5af68ac997b853a3885d7b5be995d5872d63556669 | docs/03_Logic_Core/app/models.py | 2026-05-10T11:01:15.452007Z
7c091fbb47a09bbbfad394ec9b9309f9386cb95bf9ff22703fe72b6782fe1fc8 | docs/03_Logic_Core/app/parsers/__init__.py | 2026-05-10T11:01:15.452197Z
8beaf3f884f46b0bbbf8bd1b90db87d42ec3584a594c22ab5b5b5684326df4e7 | docs/03_Logic_Core/app/parsers/dscsa.py | 2026-05-10T11:01:15.452387Z
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 | docs/03_Logic_Core/app/routers/__init__.py | 2026-05-10T11:01:15.452556Z
2177f9513f67b59bca8925fed0184bf93f3f4fd262bcf3ea3e3f95725b141807 | docs/03_Logic_Core/app/routers/__pycache__/auth.cpython-312.pyc | 2026-05-10T11:01:15.453655Z
9f3b30b1cf1fb0cf1b16bf63589531ea19419887799f7beea5e50a572b9104be | docs/03_Logic_Core/app/routers/assessments.py | 2026-05-10T11:01:15.453832Z
f1701c71c8c79b81d01ec4cecc938e23de838a803e771284886c70683e6a8c49 | docs/03_Logic_Core/app/routers/auth.py | 2026-05-10T11:01:15.453998Z
fc194f012d3530cf5a8679ed2c752a0b85cdbbeb8bb9bdbeca52ba6121bae22b | docs/03_Logic_Core/app/routers/facilities.py | 2026-05-10T11:01:15.454234Z
696924ba30b797e45dceafc9a66992acf856d932a6feab4135266e4de8c50653 | docs/03_Logic_Core/app/routers/tenants.py | 2026-05-10T11:01:15.454422Z
e50532d8ddf7896b722625d268e29b056255ca09bb6c1cd59181ca5aa1d458eb | docs/03_Logic_Core/app/schemas.py | 2026-05-10T11:01:15.454567Z
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 | docs/03_Logic_Core/app/services/__init__.py | 2026-05-10T11:01:15.454719Z
bb3bc386bc8310d937eb531bbc190434d31f55af20ac47a1207f83b62002fe20 | docs/03_Logic_Core/app/services/__pycache__/__init__.cpython-312.pyc | 2026-05-10T11:01:15.495787Z
8a72032dbc738a2eb549b517e0c708dd907caee270f72d54b461de46659ff215 | docs/03_Logic_Core/app/services/__pycache__/scoring.cpython-312.pyc | 2026-05-10T11:01:15.504785Z
7356ea8e1fc14daafa25b75b1973283ca1b6143d859f149e62dfbf332e61bbc3 | docs/03_Logic_Core/app/services/audit_hash.py | 2026-05-10T11:01:15.504975Z
706e5903a50030a9e25599eaed40c12b790aeb2eda6d6dbad11bddca7f926ded | docs/03_Logic_Core/app/services/quarantine.py | 2026-05-10T11:01:15.505132Z
08145c117201dc941ed66c498b3abd6eca3087e39f513683786322ab312eadbd | docs/03_Logic_Core/app/services/scoring.py | 2026-05-10T11:01:15.505319Z
429dfaf9924c6031bf118e6ef56980c18396b123e13841c0bf605309793a2063 | docs/03_Logic_Core/app.yaml | 2026-05-10T11:01:15.505674Z
98ba5b03cbf3b8f03de1eb0e845aafd0625077459ba8f09ad33d06a033957da6 | docs/04_Evidence/MIGRATION_LOG.md | 2026-05-10T11:01:15.505832Z
6dea4553b21971e31be55c88268d1b0db4886c5105a97f9337e24eab1a496078 | docs/04_Evidence/README.md | 2026-05-10T11:01:15.505968Z
841a14c4f23985678f9109d67a5d33696ea2a24125719ae6867e606591281ffc | docs/SUMMARY.md | 2026-05-10T11:01:15.506093Z
